Byte value [hex]:,Temperature [degree of Celsius]:
0,-40
1,"-39,5"
2,-39
3,"-38,5"
4,-38
5,"-37,5"
6,-37
7,"-36,5"
8,-36
9,"-35,5"
A,-35
B,"-34,5"
C,-34
D,"-33,5"
E,-33
F,"-32,5"
10,-32
11,"-31,5"
12,-31
13,"-30,5"
14,-30
15,"-29,5"
16,-29
17,"-28,5"
18,-28
19,"-27,5"
1A,-27
1B,"-26,5"
1C,-26
1D,"-25,5"
1E,-25
1F,"-24,5"
20,-24
21,"-23,5"
22,-23
23,"-22,5"
24,-22
25,"-21,5"
26,-21
27,"-20,5"
28,-20
29,"-19,5"
2A,-19
2B,"-18,5"
2C,-18
2D,"-17,5"
2E,-17
2F,"-16,5"
30,-16
31,"-15,5"
32,-15
33,"-14,5"
34,-14
35,"-13,5"
36,-13
37,"-12,5"
38,-12
39,"-11,5"
3A,-11
3B,"-10,5"
3C,-10
3D,"-9,5"
3E,-9
3F,"-8,5"
40,-8
41,"-7,5"
42,-7
43,"-6,5"
44,-6
45,"-5,5"
46,-5
47,"-4,5"
48,-4
49,"-3,5"
4A,-3
4B,"-2,5"
4C,-2
4D,"-1,5"
4E,-1
4F,"-0,5"
50,0
51,"0,5"
52,1
53,"1,5"
54,2
55,"2,5"
56,3
57,"3,5"
58,4
59,"4,5"
5A,5
5B,"5,5"
5C,6
5D,"6,5"
5E,7
5F,"7,5"
60,8
61,"8,5"
62,9
63,"9,5"
64,10
65,"10,5"
66,11
67,"11,5"
68,12
69,"12,5"
6A,13
6B,"13,5"
6C,14
6D,"14,5"
6E,15
6F,"15,5"
70,16
71,"16,5"
72,17
73,"17,5"
74,18
75,"18,5"
76,19
77,"19,5"
78,20
79,"20,5"
7A,21
7B,"21,5"
7C,22
7D,"22,5"
7E,23
7F,"23,5"
80,24
81,"24,5"
82,25
83,"25,5"
84,26
85,"26,5"
86,27
87,"27,5"
88,28
89,"28,5"
8A,29
8B,"29,5"
8C,30
8D,"30,5"
8E,31
8F,"31,5"
90,32
91,"32,5"
92,33
93,"33,5"
94,34
95,"34,5"
96,35
97,"35,5"
98,36
99,"36,5"
9A,37
9B,"37,5"
9C,38
9D,"38,5"
9E,39
9F,"39,5"
A0,40
A1,"40,5"
A2,41
A3,"41,5"
A4,42
A5,"42,5"
A6,43
A7,"43,5"
A8,44
A9,"44,5"
AA,45
AB,"45,5"
AC,46
AD,"46,5"
AE,47
AF,"47,5"
B0,48
B1,"48,5"
B2,49
B3,"49,5"
B4,50
B5,"50,5"
B6,51
B7,"51,5"
B8,52
B9,"52,5"
BA,53
BB,"53,5"
BC,54
BD,"54,5"
BE,55
BF,"55,5"
C0,56
C1,"56,5"
C2,57
C3,"57,5"
C4,58
C5,"58,5"
C6,59
C7,"59,5"
C8,60
C9,"60,5"
CA,61
CB,"61,5"
CC,62
CD,"62,5"
CE,63
CF,"63,5"
D0,64
D1,"64,5"
D2,65
D3,"65,5"
D4,66
D5,"66,5"
D6,67
D7,"67,5"
D8,68
D9,"68,5"
DA,69
DB,"69,5"
DC,70
DD,"70,5"
DE,71
DF,"71,5"
E0,72
E1,"72,5"
E2,73
E3,"73,5"
E4,74
E5,"74,5"
E6,75
E7,"75,5"
E8,76
E9,"76,5"
EA,77
EB,"77,5"
EC,78
ED,"78,5"
EE,79
EF,"79,5"
F0,80
F1,"80,5"
F2,81
F3,"81,5"
F4,82
F5,"82,5"
F6,83
F7,"83,5"
F8,84
F9,"84,5"
FA,85
FB,"85,5"
FC,86
FD,"86,5"
FE,87
FF,"87,5"
